id_medic,nume,specializare,email
1,Dr. Medic_1,Dermatologie,gAAAAABp-OiqbiEwX5Rwm6nT2_SjC9XaHzgvw4ox_AVbW2bjA4mLnubOGaKARsDxRLIfg9JQlkN_TQxxObvzQLNlMVjqQqKYY5fvYxH0mfPAlwTvNSUqQao=
2,Dr. Medic_2,Cardiologie,gAAAAABp-Oiqs07_HS-eNtDUIwMTPsBc3efFpSnCyEbQtW3wNggbCYJJGwswYGTvYjrlK0YiyLve0-Fq56XGKh6d0FLJexmEX0fKufMJgtkmWgEt58WLZ20=
3,Dr. Medic_3,Ginecologie,gAAAAABp-OiqZ2xL10uRkPy1bbgqniQ-cWFUsS8PcQ00II2MQLgfKMkswsCPyFGDwm4GYoJxo72IVDDBH9QKignCtLakhIucTOEqZEcfT8WRD7MyN98ErFE=
4,Dr. Medic_4,Neurologie,gAAAAABp-OiqdC4dUpp75QAe4Nrupit_n5ezBeV20WJNLwvlTVqoK1PFMxm6hX-JpPe2zhUyHnk7xXFGm_RhQOfYwNFaLRlxm6xR9VWNZYUhypObVgZgLqg=
5,Dr. Medic_5,Neurologie,gAAAAABp-Oiq3csCLhoifGlaIf_J20qGZQZC3sBfHM7CwBulRGftGVfJIgdAU4DE4agFMiIgcgYzjlroYVkN1Qb1k2MJxT218tKtbmEDnNWdiZt2DgUWbf8=
6,Dr. Medic_6,Dermatologie,gAAAAABp-OiqKyBHcs_dfTwH1cMcK3o85UZ2uCfSixSK3uRYZBXXoSevChzIPJ5e9ExCTUq33ZeYFC3xi8dcUV6EgyGZLYaXubUA8aiX2Fxc9sGQA8Okdp0=
7,Dr. Medic_7,Pediatrie,gAAAAABp-OiqkeitZ-zHd9YafMPVB5PzJL6LXY_hao0ScXCCJjOwtclvox5vM36MnmPtRwln5khbmHlC1cayR9XpdE5tqKMyboR7kWzDLsB8M23NPdlWNCQ=
8,Dr. Medic_8,Pediatrie,gAAAAABp-OiqcXQ1cmqtKIJZ7L5IPt48qmyQT0toMlLrmm2TWRnW9WnSVqbTnWWFo96-f2Mbo1zgEa-SGmn3rz3la9iEzRXzhei3h1qTW_etyntgAGf6CIU=
9,Dr. Medic_9,Ginecologie,gAAAAABp-OiqXbhbNvJ1Yir_v2NLsBxSNBYDsbsuqTvLJaWDA7YEkKsU3ahvZw_xtRztBnWgxc_f78IbnOqYGX-d8xqIsTaWVu-rje6CAw-KeunZzpKQzSQ=
10,Dr. Medic_10,Neurologie,gAAAAABp-Oiq-wyHpGRg7_LDeumcDR42PpzHWWcaF-RitMsOvfS-y7VstcGHH8obWa5LYPeljG4rRps7VHav640jDAVlcmENA9ztahE2u72MCnLDjqPT4To=
11,Dr. Medic_1,Cardiologie,gAAAAABp-OiqZ6BgCAvpzRcaPhld7FlKXxaVM3wjlwU0BiC6Td7x6xT5lzq0dnadOT7bGAFKFOdJmR0oWXZLtR4O7a5N-8b0IYwxQyTqLRIwt9utu-ImN1Q=
12,Dr. Medic_2,Neurologie,gAAAAABp-OiqUKrn6-xy_5Ba2vatRsf2WO4f4XqPDhO65MI-1Ahzclp5CsdU_24NdmlERryBma_eV_blEkpVtgkiRrp-x8uvRakk54sjwJ6R8GnxqLfZ6_g=
13,Dr. Medic_3,Dermatologie,gAAAAABp-OiqlIEssw3VQ7QGuZf-uJ4KpS9uusaT9TbAgoN0a5FZUN699DdDdX4eeMDFRA85NXzo2v-rTzP9vG1C2Hp5eLHvFSIKhkKrkItUy8A-5d4QaAs=
14,Dr. Medic_4,Neurologie,gAAAAABp-OiqR5wERPqOPjlWes1ZkmV72W3z97hFLFxUevyL5oOkU_FoDig0llbYHLBkrIeY9hXsTTJcC1V7PnLmggtOGNajkrrvv5P4N-R9B27EMnPFRq8=
15,Dr. Medic_5,Neurologie,gAAAAABp-Oiqt2RNw4Pv1yRpkrII5h00S_vEavyhG_qfNgt_31RM8JIPfEs5zOdS7bOhv4vv0UuTNQe3NuYwUiv9TqNHLX1Y30PJvuIiLJhWDdHh6-kCUX4=
16,Dr. Medic_6,Dermatologie,gAAAAABp-OiqKjdNW7T99GER0jeiz-jUe25R58YtQgDR-056fRcbbojlegZ1v3rYLF64aGa4F6DgjFWFfN_IaQmgBxGMLbq78YCcZ2899FMd__SZp0eqXS8=
17,Dr. Medic_7,Ginecologie,gAAAAABp-Oiqc1LYi5pPyndyaw3-U25__sY2twXG7NQu8KXY6HMXSSz5uNRgdNahD3eByrCaPh_5apym0RcPvA0UrCeBkAFNsCAnaaGD-pRk4ARrHiiLH9A=
18,Dr. Medic_8,Ginecologie,gAAAAABp-OiqAvH0qNjg_iCFoSVhvrXt-yyJ1y9XUB2njquECDXurQKv0etKxUBGRs6RBtUhpS7OkcuoTUfT_6sU7VdkWY1IwISVtoFma9CXbxmfEJSgNGw=
19,Dr. Medic_9,Pediatrie,gAAAAABp-OiqQIsZacNjpnBBH_Z6UdA-CWwECZKlQiCmV7cgS1XUrMVQqa0hcBLuOgM6EEtU2E1fs5pZMLV2ZlYkesF5RUULySqdqYlk4OzYMV0IE-eVCo0=
20,Dr. Medic_10,Ginecologie,gAAAAABp-OiqTIhWP3A5jF5qQKJeUW7KDq8ZLDPtiMvB9bmmGgDB1N3DxjdCRLsRu_LqbMWE4_4PdeiqhiWUVdJgdzQehJXQp_IDhd7msX4CDfamTIg6N3I=
21,Dr. Aanei,Pediatrie,gAAAAABp-OiqvdBlpGrCGA8xP_RA5UGJnduML71C9YHrTe9amZ0wB6Zk99k_xWBFOpocS3BllfTEzgRoQNuRJdcwgIyBHTNhFjcR1h6jeKr9oeUJPqxMemk=
22,Dr. Georgescu,Dermatologie,gAAAAABp-Oiq5Hbphqx-bzcBFtv6Bne3atURZvyHntxTVSdUQDYGfs4n-XyjcIcNRLUaIPomrOwvAmpFUThe7tjVhbQqgHf6qSsXS3USrtO2jlOQNoIDZDo=
23,Dr. Ene,Neurologie,gAAAAABp-OiqNOY9LVJ2a1AGyn4B0UpzNAGoe-19_SR_8lpFBurhnIyrOyjl9QIDJ7dgyyjiw1aMemdpeYg6ClCZCSe8vw6QjJvTLp35FM8_Y1IciYWb0Io=
24,Dr. Tudor,Pediatrie,gAAAAABp-OiqpcauZHf9-LQZOOj6E3E-kWuONEClw211VwexbXW9qRxeVHlgEmDLB_peKGaEf8rAvf2wm9W5NMJQjk4LcL7Q_EzomrNtRnhTkYjZbvzC-LI=
25,Dr. Popescu,ORL,gAAAAABp-OiqYca2GQogpEsAzqLWCla1J4iXnKaRY5EMNmWj-7FIw9XwW1p9NFEpbbXUKCUlWq5VpJI-_B9bUfN8_TSaMUpn9Gn7ynl8_XAw7Do89JOgiug=
26,Dr. Popescu,ORL,gAAAAABp-OiqS9CbeNyXxTrBeD20iRVOdKYACCCQR_XUYm5tCGnpCXJ73NeSxGMbQt54nu6mKI0QPpaSBvZN12uBviXOyVO9NFmAbkvDSkYwcD3W708zMsQ=
27,Dr. Stănescu,Pediatrie,gAAAAABp-OiqBWfOSOKGvOIJ2w43Ngm0lnwse8Wfj3wqR9FXnugJa-5EepYVcdeq-hOxCL_c8elg2BC9_J6t94NdPldhzeX-LDmNvgbh2dbpWpENd2ymyNY=
28,Dr. Mocanu,Pediatrie,gAAAAABp-OiqzMZrxNgP8BUNcPJ5QanNtWCdX1Y8pZ0CiAy6lTic9SG4TibJvr4TFpDX5PRwHkvj1qa3MwikT_soVRQMSK6voRdWCXrYsMpkNCz1yEN8WwM=
29,Dr. Stănescu,Cardiologie,gAAAAABp-Oiq-n8H5wKVaKkf4ypI9MeMuI6vWNAG_A_jSgO4THC9n1OH_zFXIua_v8ng8t6P7nZ28ta0f_cwyzRJLQTjkkI8WAuNT9e2wrS8NfDFX_zW-Po=
30,Dr. Stancu,Gastroenterologie,gAAAAABp-OiqYX-C_6ogRrZJjO8VxnUPlm5mJPPpSG4ZipV-9KVnpc8vY7CQV7zOCqfEWSu1hcgke2sXyc6XpkeSb4g0Qp0hPVvwmUpbx7wOhoCa_lb7EVw=
